Order,Order Chinese,Family,Family English,Suggested Chinese family name,China checklist species count,China genera count,Example China checklist species
Passeriformes,雀形目,Pittidae,Pittas,,9,2,双辫八色鸫 (Hydrornis phayrei); 栗头八色鸫 (Hydrornis oatesi); 蓝枕八色鸫 (Hydrornis nipalensis); 蓝背八色鸫 (Hydrornis soror); 蓝八色鸫 (Hydrornis cyaneus); 印度八色鸫 (Pitta brachyura)
Passeriformes,雀形目,Prunellidae,Accentors,,9,1,高原岩鹨 (Prunella himalayana); 领岩鹨 (Prunella collaris); 栗背岩鹨 (Prunella immaculata); 鸲岩鹨 (Prunella rubeculoides); 黑喉岩鹨 (Prunella atrogularis); 棕眉山岩鹨 (Prunella montanella)
Piciformes,䴕形目,Megalaimidae,Asian Barbets,,9,1,赤胸拟啄木鸟 (Psilopogon haemacephalus); 蓝耳拟啄木鸟 (Psilopogon cyanotis); 大拟啄木鸟 (Psilopogon virens); 黄纹拟啄木鸟 (Psilopogon faiostrictus); 斑头绿拟啄木鸟 (Psilopogon lineatus); 金喉拟啄木鸟 (Psilopogon franklinii)
Psittaciformes,鹦形目,Psittaculidae,Old World Parrots,,9,3,蓝腰鹦鹉 (Psittinus cyanurus); 亚历山大鹦鹉 (Psittacula eupatria); 红领绿鹦鹉 (Psittacula krameri); 青头鹦鹉 (Psittacula himalayana); 灰头鹦鹉 (Psittacula finschii); 花头鹦鹉 (Psittacula roseata)
Coraciiformes,佛法僧目,Meropidae,Bee-eaters,,8,2,蓝须夜蜂虎 (Nyctyornis athertoni); 栗头蜂虎 (Merops leschenaulti); 蓝喉蜂虎 (Merops viridis); 绿喉蜂虎 (Merops orientalis); 黄喉蜂虎 (Merops apiaster); 彩虹蜂虎 (Merops ornatus)
Ciconiiformes,鹳形目,Ciconiidae,Storks,,7,4,钳嘴鹳 (Anastomus oscitans); 秃鹳 (Leptoptilos javanicus); 彩鹳 (Mycteria leucocephala); 黑鹳 (Ciconia nigra); 东方白鹳 (Ciconia boyciana); 白鹳 (Ciconia ciconia)
Passeriformes,雀形目,Aegithalidae,"Tit-warblers, Bushtits, and Long-tailed Tit",,7,2,凤头雀莺 (Leptopoecile elegans); 花彩雀莺 (Leptopoecile sophiae); 北长尾山雀 (Aegithalos caudatus); 银喉长尾山雀 (Aegithalos glaucogularis); 红头长尾山雀 (Aegithalos concinnus); 黑眉长尾山雀 (Aegithalos iouschistos)
Passeriformes,雀形目,Certhiidae,Treecreepers,,7,1,霍氏旋木雀 (Certhia hodgsoni); 旋木雀 (Certhia familiaris); 高山旋木雀 (Certhia himalayana); 锈红腹旋木雀 (Certhia nipalensis); 四川旋木雀 (Certhia tianquanensis); 褐喉旋木雀 (Certhia discolor)
Passeriformes,雀形目,Dicruridae,Drongos,,7,1,古铜色卷尾 (Dicrurus aeneus); 小盘尾 (Dicrurus remifer); 鸦嘴卷尾 (Dicrurus annectens); 大盘尾 (Dicrurus paradiseus); 发冠卷尾 (Dicrurus hottentottus); 灰卷尾 (Dicrurus leucophaeus)
Passeriformes,雀形目,Oriolidae,Old World Orioles,,7,1,朱鹂 (Oriolus traillii); 鹊色鹂 (Oriolus mellianus); 黑头黄鹂 (Oriolus xanthornus); 印度金黄鹂 (Oriolus kundoo); 金黄鹂 (Oriolus oriolus); 细嘴黄鹂 (Oriolus tenuirostris)
Passeriformes,雀形目,Dicaeidae,Flowerpeckers,,6,2,厚嘴啄花鸟 (Pachyglossa agilis); 黄臀啄花鸟 (Pachyglossa chrysorrhea); 黄腹啄花鸟 (Pachyglossa melanozantha); 纯色啄花鸟 (Dicaeum minullum); 红胸啄花鸟 (Dicaeum ignipectus); 朱背啄花鸟 (Dicaeum cruentatum)
Passeriformes,雀形目,Sylviidae,Sylviid Warblers and Allies,,6,2,黑顶林莺 (Sylvia atricapilla); 横斑林莺 (Curruca nisoria); 白喉林莺 (Curruca curruca); 东歌林莺 (Curruca crassirostris); 亚洲漠地林莺 (Curruca nana); 灰白喉林莺 (Curruca communis)
Passeriformes,雀形目,Vireonidae,"Shrike-babblers, Erpornis, and Vireos",,6,2,棕腹鵙鹛 (Pteruthius rufiventer); 红翅鵙鹛 (Pteruthius aeralatus); 淡绿鵙鹛 (Pteruthius xanthochlorus); 栗喉鵙鹛 (Pteruthius melanotis); 栗额鵙鹛 (Pteruthius intermedius); 白腹凤鹛 (Erpornis zantholeuca)
Pelecaniformes,鹈形目,Threskiornithidae,Ibises and Spoonbills,,6,5,彩鹮 (Plegadis falcinellus); 朱鹮 (Nipponia nippon); 白肩黑鹮 (Pseudibis davisoni); 白琵鹭 (Platalea leucorodia); 黑脸琵鹭 (Platalea minor); 黑头白鹮 (Threskiornis melanocephalus)
Suliformes,鲣鸟目,Phalacrocoracidae,Cormorants and Shags,,6,3,侏鸬鹚 (Microcarbo pygmaeus); 黑颈鸬鹚 (Microcarbo niger); 红脸鸬鹚 (Urile urile); 海鸬鹚 (Urile pelagicus); 暗绿背鸬鹚 (Phalacrocorax capillatus); 普通鸬鹚 (Phalacrocorax carbo)
Bucerotiformes,犀鸟目,Bucerotidae,Hornbills,,5,5,双角犀鸟 (Buceros bicornis); 白喉犀鸟 (Anorrhinus austeni); 冠斑犀鸟 (Anthracoceros albirostris); 棕颈犀鸟 (Aceros nipalensis); 花冠皱盔犀鸟 (Rhyticeros undulatus)
Passeriformes,雀形目,Estrildidae,"Munias, Parrotfinches, Waxbills, and Allies",,5,3,斑文鸟 (Lonchura punctulata); 白腰文鸟 (Lonchura striata); 栗腹文鸟 (Lonchura atricapilla); 长尾鹦雀 (Erythrura prasina); 红梅花雀 (Amandava amandava)
Passeriformes,雀形目,Monarchidae,"Monarch Flycatchers, Paradise Flycatchers, and Shrikebills",,5,2,黑枕王鹟 (Hypothymis azurea); 中南寿带 (Terpsiphone affinis); 寿带 (Terpsiphone incei); 紫寿带 (Terpsiphone atrocaudata); 印度寿带 (Terpsiphone paradisi)
Podicipediformes,䴙䴘目,Podicipedidae,Grebes,,5,2,小䴙䴘 (Tachybaptus ruficollis); 角䴙䴘 (Podiceps auritus); 赤颈䴙䴘 (Podiceps grisegena); 凤头䴙䴘 (Podiceps cristatus); 黑颈䴙䴘 (Podiceps nigricollis)
Charadriiformes,鸻形目,Glareolidae,Coursers and Pratincoles,,4,1,灰燕鸻 (Glareola lactea); 普通燕鸻 (Glareola maldivarum); 黑翅燕鸻 (Glareola nordmanni); 领燕鸻 (Glareola pratincola)
Charadriiformes,鸻形目,Stercorariidae,Jaegers and Skuas,,4,1,短尾贼鸥 (Stercorarius parasiticus); 长尾贼鸥 (Stercorarius longicaudus); 中贼鸥 (Stercorarius pomarinus); 南极贼鸥 (Stercorarius maccormicki)
Gaviiformes,潜鸟目,Gaviidae,Loons,,4,1,红喉潜鸟 (Gavia stellata); 黄嘴潜鸟 (Gavia adamsii); 太平洋潜鸟 (Gavia pacifica); 黑喉潜鸟 (Gavia arctica)
Passeriformes,雀形目,Pnoepygidae,Cupwings,,4,1,鳞胸鹪鹛 (Pnoepyga albiventer); 台湾鹪鹛 (Pnoepyga formosana); 尼泊尔鹪鹛 (Pnoepyga immaculata); 小鳞胸鹪鹛 (Pnoepyga pusilla)
Passeriformes,雀形目,Remizidae,Penduline Tits,,4,1,中华攀雀 (Remiz consobrinus); 白冠攀雀 (Remiz coronatus); 欧亚攀雀 (Remiz pendulinus); 黑头攀雀 (Remiz macronyx)
Procellariiformes,鹱形目,Hydrobatidae,Northern Storm Petrels,,4,1,褐翅叉尾海燕 (Hydrobates tristrami); 黑叉尾海燕 (Hydrobates monorhis); 日本叉尾海燕 (Hydrobates matsudairae); 白腰叉尾海燕 (Hydrobates leucorhous)
Charadriiformes,鸻形目,Recurvirostridae,Stilts and Avocets,,3,2,反嘴鹬 (Recurvirostra avosetta); 黑翅长脚鹬 (Himantopus himantopus); 澳洲长脚鹬 (Himantopus leucocephalus)
Charadriiformes,鸻形目,Turnicidae,Buttonquail,,3,1,黄脚三趾鹑 (Turnix tanki); 棕三趾鹑 (Turnix suscitator); 林三趾鹑 (Turnix sylvaticus)
Coraciiformes,佛法僧目,Coraciidae,Rollers,,3,2,三宝鸟 (Eurystomus orientalis); 棕胸佛法僧 (Coracias affinis); 蓝胸佛法僧 (Coracias garrulus)
Otidiformes,鸨形目,Otididae,Bustards,,3,3,大鸨 (Otis tarda); 波斑鸨 (Chlamydotis macqueenii); 小鸨 (Tetrax tetrax)
Passeriformes,雀形目,Chloropseidae,Leafbirds,,3,1,蓝翅叶鹎 (Chloropsis moluccensis); 金额叶鹎 (Chloropsis aurifrons); 黄冠橙腹叶鹎 (Chloropsis hardwickii)
Passeriformes,雀形目,Eurylaimidae,Grauer's Broadbill and Asian Broadbills,,3,2,长尾阔嘴鸟 (Psarisomus dalhousiae); 灰眼先丝冠鸟 (Serilophus rubropygius); 银胸丝冠鸟 (Serilophus lunatus)
Passeriformes,雀形目,Rhipiduridae,Fantails and Silktails,,3,1,菲律宾斑扇尾鹟 (Rhipidura nigritorquis); 白喉扇尾鹟 (Rhipidura albicollis); 白眉扇尾鹟 (Rhipidura aureola)
Pelecaniformes,鹈形目,Pelecanidae,Pelicans,,3,1,白鹈鹕 (Pelecanus onocrotalus); 斑嘴鹈鹕 (Pelecanus philippensis); 卷羽鹈鹕 (Pelecanus crispus)
Phaethontiformes,鹲形目,Phaethontidae,Tropicbirds,,3,1,红嘴鹲 (Phaethon aethereus); 红尾鹲 (Phaethon rubricauda); 白尾鹲 (Phaethon lepturus)
Procellariiformes,鹱形目,Diomedeidae,Albatrosses,,3,1,黑背信天翁 (Phoebastria immutabilis); 黑脚信天翁 (Phoebastria nigripes); 短尾信天翁 (Phoebastria albatrus)
Pterocliformes,沙鸡目,Pteroclidae,Sandgrouse,,3,2,毛腿沙鸡 (Syrrhaptes paradoxus); 西藏毛腿沙鸡 (Syrrhaptes tibetanus); 黑腹沙鸡 (Pterocles orientalis)
Strigiformes,鸮形目,Tytonidae,Bay Owls and Barn Owls,,3,2,栗鸮 (Phodilus badius); 草鸮 (Tyto longimembris); 仓鸮 (Tyto javanica)
Suliformes,鲣鸟目,Fregatidae,Frigatebirds,,3,1,白斑军舰鸟 (Fregata ariel); 白腹军舰鸟 (Fregata andrewsi); 黑腹军舰鸟 (Fregata minor)
Suliformes,鲣鸟目,Sulidae,Boobies and Gannets,,3,1,红脚鲣鸟 (Sula sula); 褐鲣鸟 (Sula leucogaster); 蓝脸鲣鸟 (Sula dactylatra)
Trogoniformes,咬鹃目,Trogonidae,Trogons,,3,1,橙胸咬鹃 (Harpactes oreskios); 红头咬鹃 (Harpactes erythrocephalus); 红腹咬鹃 (Harpactes wardi)
Charadriiformes,鸻形目,Burhinidae,Thick-knees and Stone-curlews,,2,2,大石鸻 (Esacus recurvirostris); 石鸻 (Burhinus oedicnemus)
Charadriiformes,鸻形目,Jacanidae,Jacanas,,2,2,水雉 (Hydrophasianus chirurgus); 铜翅水雉 (Metopidius indicus)
Passeriformes,雀形目,Aegithinidae,Ioras,,2,1,黑翅雀鹎 (Aegithina tiphia); 大绿雀鹎 (Aegithina lafresnayei)
Passeriformes,雀形目,Bombycillidae,Waxwings,,2,1,小太平鸟 (Bombycilla japonica); 太平鸟 (Bombycilla garrulus)
Passeriformes,雀形目,Calcariidae,Longspurs and Snow Buntings,,2,2,雪鹀 (Plectrophenax nivalis); 铁爪鹀 (Calcarius lapponicus)
Passeriformes,雀形目,Cinclidae,Dippers,,2,1,河乌 (Cinclus cinclus); 褐河乌 (Cinclus pallasii)
Passeriformes,雀形目,Passerellidae,New World Sparrows,,2,2,白冠带鹀 (Zonotrichia leucophrys); 稀树草鹀 (Passerculus sandwichensis)
Passeriformes,雀形目,Ploceidae,Weavers and Allies,,2,1,纹胸织雀 (Ploceus manyar); 黄胸织雀 (Ploceus philippinus)
Passeriformes,雀形目,Regulidae,Kinglets,,2,1,台湾戴菊 (Regulus goodfellowi); 戴菊 (Regulus regulus)
Passeriformes,雀形目,Stenostiridae,Fairy Flycatchers,,2,2,黄腹扇尾鹟 (Chelidorhynx hypoxanthus); 方尾鹟 (Culicicapa ceylonensis)
Passeriformes,雀形目,Vangidae,"Vangas, Helmetshrikes, and Allies",,2,2,褐背鹟鵙 (Hemipus picatus); 钩嘴林鵙 (Tephrodornis virgatus)
Apodiformes,雨燕目,Hemiprocnidae,Treeswifts,,1,1,凤头雨燕 (Hemiprocne coronata)
Bucerotiformes,犀鸟目,Upupidae,Hoopoes,,1,1,戴胜 (Upupa epops)
Charadriiformes,鸻形目,Haematopodidae,Oystercatchers,,1,1,蛎鹬 (Haematopus ostralegus)
Charadriiformes,鸻形目,Ibidorhynchidae,Ibisbill,,1,1,鹮嘴鹬 (Ibidorhyncha struthersii)
Charadriiformes,鸻形目,Rostratulidae,Painted-Snipes,,1,1,彩鹬 (Rostratula benghalensis)
Passeriformes,雀形目,Artamidae,"Woodswallows, Bellmagpies, and Allies",,1,1,灰燕鵙 (Artamus fuscus)
Passeriformes,雀形目,Elachuridae,Elachura,,1,1,丽星鹩鹛 (Elachura formosa)
Passeriformes,雀形目,Irenidae,Fairy-bluebirds,,1,1,和平鸟 (Irena puella)
Passeriformes,雀形目,Panuridae,Reedling,,1,1,文须雀 (Panurus biarmicus)
Passeriformes,雀形目,Tichodromidae,Wallcreeper,,1,1,红翅旋壁雀 (Tichodroma muraria)
Passeriformes,雀形目,Troglodytidae,Wrens,,1,1,鹪鹩 (Troglodytes troglodytes)
Passeriformes,雀形目,Urocynchramidae,Przevalski's Finch,,1,1,朱鹀 (Urocynchramus pylzowi)
Phoenicopteriformes,红鹳目,Phoenicopteridae,Flamingos,,1,1,大红鹳 (Phoenicopterus roseus)
Piciformes,䴕形目,Indicatoridae,Honeyguides,,1,1,黄腰响蜜䴕 (Indicator xanthonotus)
Procellariiformes,鹱形目,Oceanitidae,Southern Storm Petrels,,1,1,黄蹼洋海燕 (Oceanites oceanicus)
Suliformes,鲣鸟目,Anhingidae,Anhinga and Darters,,1,1,黑腹蛇鹈 (Anhinga melanogaster)
