Order,Order Chinese,Family,Family Chinese,Genus,Official Chinese genus name,Original Chinese genus name,Audit status,Audit note,Audit sources,CBR suffix candidate - NOT USED,Candidate basis,CBR checklist species count,Example CBR species
Charadriiformes,鸻形目,Scolopacidae,丘鹬科,Limosa,塍鹬属,塍鹬属,未改动,,,尾塍鹬属,shared Chinese species-name suffix only; not used in app,2,斑尾塍鹬 (Limosa lapponica); 黑尾塍鹬 (Limosa limosa)
Charadriiformes,鸻形目,Scolopacidae,丘鹬科,Phalaropus,瓣蹼鹬属,瓣蹼鹬属,未改动,,,瓣蹼鹬属,shared Chinese species-name suffix only; not used in app,2,灰瓣蹼鹬 (Phalaropus fulicarius); 红颈瓣蹼鹬 (Phalaropus lobatus)
Columbiformes,鸽形目,Columbidae,鸠鸽科,Ducula,皇鸠属,皇鸠属,未改动,,,皇鸠属,shared Chinese species-name suffix only; not used in app,2,绿皇鸠 (Ducula aenea); 山皇鸠 (Ducula badia)
Columbiformes,鸽形目,Columbidae,鸠鸽科,Spilopelia,副斑鸠属,副斑鸠属,未改动,,,斑鸠属,shared Chinese species-name suffix only; not used in app,2,珠颈斑鸠 (Spilopelia chinensis); 棕斑鸠 (Spilopelia senegalensis)
Cuculiformes,鹃形目,Cuculidae,杜鹃科,Cacomantis,八声杜鹃属,八声杜鹃属,未改动,,,杜鹃属,shared Chinese species-name suffix only; not used in app,2,栗斑杜鹃 (Cacomantis sonneratii); 八声杜鹃 (Cacomantis merulinus)
Cuculiformes,鹃形目,Cuculidae,杜鹃科,Centropus,鸦鹃属,鸦鹃属,未改动,,,鸦鹃属,shared Chinese species-name suffix only; not used in app,2,褐翅鸦鹃 (Centropus sinensis); 小鸦鹃 (Centropus bengalensis)
Galliformes,鸡形目,Phasianidae,雉科,Lagopus,雷鸟属,雷鸟属,未改动,,,雷鸟属,shared Chinese species-name suffix only; not used in app,2,岩雷鸟 (Lagopus muta); 柳雷鸟 (Lagopus lagopus)
Galliformes,鸡形目,Phasianidae,雉科,Tetrao,松鸡属,松鸡属,未改动,,,松鸡属,shared Chinese species-name suffix only; not used in app,2,黑嘴松鸡 (Tetrao urogalloides); 西方松鸡 (Tetrao urogallus)
Galliformes,鸡形目,Phasianidae,雉科,Tetrastes,榛鸡属,榛鸡属,未改动,,,尾榛鸡属,shared Chinese species-name suffix only; not used in app,2,斑尾榛鸡 (Tetrastes sewerzowi); 花尾榛鸡 (Tetrastes bonasia)
Gruiformes,鹤形目,Rallidae,秧鸡科,Rallina,斑秧鸡属,斑秧鸡属,未改动,,,斑秧鸡属,shared Chinese species-name suffix only; not used in app,2,红腿斑秧鸡 (Rallina fasciata); 白喉斑秧鸡 (Rallina eurizonoides)
Gruiformes,鹤形目,Rallidae,秧鸡科,Rallus,秧鸡属,秧鸡属,未改动,,,秧鸡属,shared Chinese species-name suffix only; not used in app,2,西方秧鸡 (Rallus aquaticus); 普通秧鸡 (Rallus indicus)
Passeriformes,雀形目,Aegithinidae,雀鹎科,Aegithina,雀鹎属,雀鹎属,未改动,,,雀鹎属,shared Chinese species-name suffix only; not used in app,2,黑翅雀鹎 (Aegithina tiphia); 大绿雀鹎 (Aegithina lafresnayei)
Passeriformes,雀形目,Alaudidae,百灵科,Alaudala,小短趾百灵属,小短趾百灵属,未改动,,,短趾百灵属,shared Chinese species-name suffix only; not used in app,2,亚洲短趾百灵 (Alaudala cheleensis); 中亚短趾百灵 (Alaudala heinei)
Passeriformes,雀形目,Campephagidae,鹃鵙科,Lalage,鸣鹃鵙属,鹃鵙属,已确认修正,“鹃鵙属”过于笼统且易与科名/其他属混淆；现行属名为“鸣鹃鵙属”。,全球鸟类分类索引；台湾生物多样性网络,鹃鵙属,shared Chinese species-name suffix only; not used in app,2,黑鸣鹃鵙 (Lalage nigra); 暗灰鹃鵙 (Lalage melaschistos)
Passeriformes,雀形目,Cinclidae,河乌科,Cinclus,河乌属,河乌属,未改动,,,河乌属,shared Chinese species-name suffix only; not used in app,2,河乌 (Cinclus cinclus); 褐河乌 (Cinclus pallasii)
Passeriformes,雀形目,Cisticolidae,扇尾莺科,Cisticola,扇尾莺属,扇尾莺属,未改动,,,扇尾莺属,shared Chinese species-name suffix only; not used in app,2,棕扇尾莺 (Cisticola juncidis); 金头扇尾莺 (Cisticola exilis)
Passeriformes,雀形目,Cisticolidae,扇尾莺科,Orthotomus,缝叶莺属,缝叶莺属,未改动,,,缝叶莺属,shared Chinese species-name suffix only; not used in app,2,长尾缝叶莺 (Orthotomus sutorius); 黑喉缝叶莺 (Orthotomus atrogularis)
Passeriformes,雀形目,Corvidae,鸦科,Cissa,绿鹊属,绿鹊属,未改动,,,绿鹊属,shared Chinese species-name suffix only; not used in app,2,蓝绿鹊 (Cissa chinensis); 印支绿鹊 (Cissa hypoleuca)
Passeriformes,雀形目,Corvidae,鸦科,Pyrrhocorax,山鸦属,山鸦属,未改动,,,嘴山鸦属,shared Chinese species-name suffix only; not used in app,2,黄嘴山鸦 (Pyrrhocorax graculus); 红嘴山鸦 (Pyrrhocorax pyrrhocorax)
Passeriformes,雀形目,Fringillidae,燕雀科,Eophona,蜡嘴雀属,蜡嘴雀属,未改动,,,蜡嘴雀属,shared Chinese species-name suffix only; not used in app,2,黑头蜡嘴雀 (Eophona personata); 黑尾蜡嘴雀 (Eophona migratoria)
Passeriformes,雀形目,Fringillidae,燕雀科,Fringilla,燕雀属,燕雀属,未改动,,,燕雀属,shared Chinese species-name suffix only; not used in app,2,燕雀 (Fringilla montifringilla); 苍头燕雀 (Fringilla coelebs)
Passeriformes,雀形目,Fringillidae,燕雀科,Linaria,朱顶雀属,朱顶雀属,未改动,,,朱顶雀属,shared Chinese species-name suffix only; not used in app,2,黄嘴朱顶雀 (Linaria flavirostris); 赤胸朱顶雀 (Linaria cannabina)
Passeriformes,雀形目,Fringillidae,燕雀科,Loxia,交嘴雀属,交嘴雀属,未改动,,,交嘴雀属,shared Chinese species-name suffix only; not used in app,2,白翅交嘴雀 (Loxia leucoptera); 红交嘴雀 (Loxia curvirostra)
Passeriformes,雀形目,Hirundinidae,燕科,Ptyonoprogne,岩燕属,岩燕属,未改动,,,岩燕属,shared Chinese species-name suffix only; not used in app,2,纯色岩燕 (Ptyonoprogne concolor); 岩燕 (Ptyonoprogne rupestris)
Passeriformes,雀形目,Leiothrichidae,噪鹛科,Leiothrix,相思鸟属,相思鸟属,未改动,,,相思鸟属,shared Chinese species-name suffix only; not used in app,2,红嘴相思鸟 (Leiothrix lutea); 银耳相思鸟 (Leiothrix argentauris)
Passeriformes,雀形目,Muscicapidae,鹟科,Copsychus,鹊鸲属,鹊鸲属,未改动,,,鹊鸲属,shared Chinese species-name suffix only; not used in app,2,鹊鸲 (Copsychus saularis); 白腰鹊鸲 (Copsychus malabaricus)
Passeriformes,雀形目,Nectariniidae,太阳鸟科,Arachnothera,捕蛛鸟属,捕蛛鸟属,未改动,,,捕蛛鸟属,shared Chinese species-name suffix only; not used in app,2,长嘴捕蛛鸟 (Arachnothera longirostra); 纹背捕蛛鸟 (Arachnothera magna)
Passeriformes,雀形目,Nectariniidae,太阳鸟科,Cinnyris,双领花蜜鸟属,花蜜鸟属,用户确认后填写,用户复核并确认使用“双领花蜜鸟属”。,用户确认,花蜜鸟属,shared Chinese species-name suffix only; not used in app,2,紫色花蜜鸟 (Cinnyris asiaticus); 黄腹花蜜鸟 (Cinnyris jugularis)
Passeriformes,雀形目,Ploceidae,织雀科,Ploceus,织布鸟属,织布鸟属,未改动,,,胸织雀属,shared Chinese species-name suffix only; not used in app,2,纹胸织雀 (Ploceus manyar); 黄胸织雀 (Ploceus philippinus)
Passeriformes,雀形目,Pycnonotidae,鹎科,Alophoixus,冠鹎属,冠鹎属,未改动,,,冠鹎属,shared Chinese species-name suffix only; not used in app,2,黄腹冠鹎 (Alophoixus flaveolus); 白喉冠鹎 (Alophoixus pallidus)
Passeriformes,雀形目,Pycnonotidae,鹎科,Hemixos,灰短脚鹎属,短脚鹎属,已确认修正,与 Hypsipetes 的“短脚鹎属”混用；Hemixos 为“灰短脚鹎属”。,全球鸟类分类索引；中文鸟类名录,短脚鹎属,shared Chinese species-name suffix only; not used in app,2,灰短脚鹎 (Hemixos flavala); 栗背短脚鹎 (Hemixos castanonotus)
Passeriformes,雀形目,Pycnonotidae,鹎科,Hypsipetes,短脚鹎属,短脚鹎属,未改动,,,短脚鹎属,shared Chinese species-name suffix only; not used in app,2,栗耳短脚鹎 (Hypsipetes amaurotis); 黑短脚鹎 (Hypsipetes leucocephalus)
Passeriformes,雀形目,Pycnonotidae,鹎科,Spizixos,雀嘴鹎属,雀嘴鹎属,未改动,,,雀嘴鹎属,shared Chinese species-name suffix only; not used in app,2,领雀嘴鹎 (Spizixos semitorques); 凤头雀嘴鹎 (Spizixos canifrons)
Passeriformes,雀形目,Sturnidae,椋鸟科,Agropsar,北椋鸟属,北椋鸟属,未改动,,,椋鸟属,shared Chinese species-name suffix only; not used in app,2,北椋鸟 (Agropsar sturninus); 紫背椋鸟 (Agropsar philippensis)
Pelecaniformes,鹈形目,Ardeidae,鹭科,Nycticorax,夜鹭属,夜鹭属,未改动,,,夜鹭属,shared Chinese species-name suffix only; not used in app,2,夜鹭 (Nycticorax nycticorax); 棕夜鹭 (Nycticorax caledonicus)
Piciformes,䴕形目,Picidae,啄木鸟科,Dryocopus,黑啄木鸟属,黑啄木鸟属,未改动,,,黑啄木鸟属,shared Chinese species-name suffix only; not used in app,2,黑啄木鸟 (Dryocopus martius); 白腹黑啄木鸟 (Dryocopus javensis)
Piciformes,䴕形目,Picidae,啄木鸟科,Yungipicus,星头啄木鸟属,星头啄木鸟属,未改动,,,星头啄木鸟属,shared Chinese species-name suffix only; not used in app,2,星头啄木鸟 (Yungipicus canicapillus); 小星头啄木鸟 (Yungipicus kizuki)
Strigiformes,鸮形目,Strigidae,鸱鸮科,Asio,鸣角鸮属,耳鸮属,用户确认后填写,用户复核并确认使用“鸣角鸮属”。,用户确认,耳鸮属,shared Chinese species-name suffix only; not used in app,2,短耳鸮 (Asio flammeus); 长耳鸮 (Asio otus)
Strigiformes,鸮形目,Strigidae,鸱鸮科,Athene,小鸮属,小鸮属,未改动,,,腹小鸮属,shared Chinese species-name suffix only; not used in app,2,纵纹腹小鸮 (Athene noctua); 横斑腹小鸮 (Athene brama)
Strigiformes,鸮形目,Strigidae,鸱鸮科,Bubo,雕鸮属,雕鸮属,未改动,,,,,2,雪鸮 (Bubo scandiacus); 雕鸮 (Bubo bubo)
Strigiformes,鸮形目,Strigidae,鸱鸮科,Glaucidium,鸺鹠属,鸺鹠属,未改动,,,头鸺鹠属,shared Chinese species-name suffix only; not used in app,2,花头鸺鹠 (Glaucidium passerinum); 斑头鸺鹠 (Glaucidium cuculoides)
